,listing_id,name,price,mileage,ext_color,int_color,transmission,drivetrain,make,model,condition,year,trim,bodystyle,dealer,state,rating,review_count,CPO
1952,775011213,2016 BMW 340 i xDrive,33998.0,35838.0,Silver,Black,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,CarMax Merrillville,IN,2.3,6,False
1953,775401597,2008 BMW 335 i,8999.0,122000.0,White,Gray,Automatic,RWD,BMW,335,Used,2008,i,Convertible,Your Choice Auto Sales of Posen,IL,3.9,52,False
1954,777354775,2016 BMW 340 i,32930.0,9231.0,Gray,Black,Automatic,RWD,BMW,340,Used,2016,i,Sedan,Vroom (Online Dealer),IL,3.8,68,False
1955,771210523,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),FL,3.7,908,False
1956,771211836,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),AR,3.8,905,False
1957,773758886,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),OK,3.7,906,False
1958,776045114,2009 BMW 335 i xDrive,9495.0,115056.0,Gray,Black,Automatic,AWD,BMW,335,Used,2009,i xDrive,Sedan,Burr Ridge Motor Sales,IL,5.0,3,False
1959,774054797,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),CO,3.5,103,False
1960,778388438,2013 BMW 335 i,15995.0,102275.0,Black,Black,Automatic,RWD,BMW,335,Used,2013,i,Sedan,Jet's Auto Sales,GA,4.1,18,False
1961,745244655,2018 BMW 340 i xDrive,52875.0,34.0,Other,Black,Automatic,AWD,BMW,340,New,2018,i xDrive,Sedan,D-Patrick Motoplex,IN,4.7,126,False
1962,776646251,2016 BMW 340 i,32930.0,9231.0,Gray,Black,Automatic,RWD,BMW,340,Used,2016,i,Sedan,Vroom (Online Dealer),CA,3.8,68,False
1963,773867202,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),CA,3.5,103,False
1964,775856897,2016 BMW 340 i xDrive,32600.0,35570.0,Red,Brown,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),CA,3.5,103,False
1965,765497815,2016 BMW 340 i xDrive,34899.0,31965.0,Gray,Black,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Kimberly Car City,IA,3.6,86,True
1966,775863214,2016 BMW 340 i xDrive,32600.0,35570.0,Red,Brown,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),CA,3.5,103,False
1967,774601604,2016 BMW 340 i,26450.0,38421.0,White,White,Automatic,RWD,BMW,340,Used,2016,i,Sedan,Premier Collection,FL,1.0,1,False
1968,776644690,2016 BMW 340 i,32930.0,9231.0,Gray,Black,Automatic,RWD,BMW,340,Used,2016,i,Sedan,Vroom (Online Dealer),CA,3.8,68,False
1969,773854224,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),MD,3.5,103,False
1970,773447580,2013 BMW 335 i,24977.0,36406.0,White,Beige,Automatic,RWD,BMW,335,Used,2013,i,Convertible,Reeves Import Motorcars,FL,4.9,492,False
1971,775634423,2013 BMW 335 i,14500.0,61059.0,Black,Black,Automatic,RWD,BMW,335,Used,2013,i,Sedan,Grieco Chevrolet of Fort Lauderdale,FL,4.5,418,False
1972,773906040,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),OH,3.5,103,False
1973,775731633,2011 BMW 335 i,12995.0,101154.0,Black,Black,Manual,RWD,BMW,335,Used,2011,i,Coupe,RPM Garage,TX,5.0,2,False
1974,773829676,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),MI,3.6,81,False
1975,775845721,2016 BMW 340 i xDrive,32600.0,35570.0,Red,Brown,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),SC,3.8,905,False
1976,776999684,2018 BMW 340 i xDrive,42340.0,17651.0,Red,Black,Automatic,AWD,BMW,340,Used,2018,i xDrive,Sedan,Vroom (Online Dealer),TN,3.8,522,False
1977,747406647,2018 BMW 340 i,44616.0,14.0,White,Black,Automatic,RWD,BMW,340,New,2018,i,Sedan,BMW of Dallas,TX,4.4,884,False
1978,774815322,2016 BMW 340 i,31988.0,26631.0,White,Black,Automatic,RWD,BMW,340,Used,2016,i,Sedan,Advantage BMW Clear Lake,TX,4.5,80,True
1979,773761850,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),LA,3.8,905,False
1980,767344632,2012 BMW 335 i,16491.0,34811.0,Black,Brown,Automatic,RWD,BMW,335,Used,2012,i,Sedan,Houston Direct Auto,TX,3.3,109,False
1981,768854186,2017 BMW 340 i,35500.0,6077.0,Red,Black,Automatic,RWD,BMW,340,Used,2017,i,Sedan,Luxury Auto Works,TX,5.0,2,False
1982,775860624,2016 BMW 340 i xDrive,32600.0,35570.0,Red,Brown,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),CA,3.6,77,False
1983,775094927,2007 BMW 335 i,9999.0,121140.0,Black,Black,Manual,RWD,BMW,335,Used,2007,i,Coupe,Pana Motors,TX,4.4,27,False
1984,773837785,2016 BMW 340 i xDrive,30260.0,30840.0,White,Beige,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Vroom (Online Dealer),OH,3.6,81,False
1985,774846434,2016 BMW 340 i,31998.0,29987.0,Blue,Black,Automatic,RWD,BMW,340,Used,2016,i,Sedan,Beemer Haus,AZ,4.5,64,False
1986,777212930,2013 BMW 335 i,21988.0,118381.0,Red,Black,Automatic,RWD,BMW,335,Used,2013,i,Sedan,Audi Henderson,NV,2.7,24,False
1987,774819641,2012 BMW 335 i,18599.0,73565.0,Black,Red,Automatic,RWD,BMW,335,Used,2012,i,Convertible,Supreme Motors,WA,5.0,21,False
